Source,Target,Weight
目标,检测,171
目标,精度,5
目标,低,5
目标,交通,67
目标,模型,31
目标,参,8
目标,数量,12
目标,问题,21
目标,提出,30
目标,一种,17
目标,改进,18
目标,YOLO11s,12
目标,算法,43
目标,目标,19
目标,尺度,29
目标,不一,12
目标,挑战,14
目标,设计,38
目标,特征提取,6
目标,模块,16
目标,MFEM,3
目标,集成,2
目标,形状,1
目标,策略,1
目标,减少,2
目标,跨,8
目标,特征,32
目标,中,30
目标,信息,6
目标,损失,8
目标,提高,12
目标,融合,17
目标,性能,11
目标,最后,25
目标,细节,4
目标,增强,38
目标,共享,4
目标,头,2
目标,DESH,1
目标,35,1
目标,25,2
目标,参数,4
目标,量减少,5
目标,证明,5
目标,138,4
目标,有效性,7
目标,传统,6
目标,自动,5
目标,紧急制动,5
目标,automatic,7
目标,emergency,8
目标,braking,9
目标,AEB,7
目标,系统,16
目标,信号,5
目标,交叉口,11
目标,场景,51
目标,下因,8
目标,车辆,43
目标,机动,7
目标,意图,13
目标,确定,5
目标,而易,4
目标,出现,5
目标,漏,4
目标,触发,3
目标,IRAEB,3
目标,感知,19
目标,决策,7
目标,自然,5
目标,驾驶,13
目标,数据,27
目标,构建,16
目标,层面,14
目标,识别,6
目标,结合,11
目标,拓扑,4
目标,生成,17
目标,分支,3
目标,候选,1
目标,ETTC,1
目标,风险,15
目标,量化,3
目标,指标,19
目标,控制,5
目标,引入,16
目标,主,11
目标,执行,5
目标,动态,26
目标,筛选,19
目标,机制,21
目标,适应,17
目标,交互,13
目标,固定,5
目标,时间,25
目标,阈值,4
目标,滞,3
目标,回,2
目标,逻辑,1
目标,方法,19
目标,依托,2
目标,MATLABSimulink,3
目标,闭环,4
目标,仿真,5
目标,CNCAP,5
目标,规定,6
目标,左转,8
目标,平台,4
目标,直行,7
目标,测试,6
目标,cartocar,4
目标,front,5
目标,turnacrosspath,4
目标,CCFT,3
目标,典型,2
目标,双车,1
目标,载客量,1
目标,差异,2
目标,换乘,3
目标,服务,4
目标,延迟,5
目标,总,6
目标,疏散,11
目标,最小化,7
目标,地空,8
目标,协同,7
目标,优化,13
目标,联合,3
目标,智能,8
目标,交通系统,2
目标,ITS,3
目标,地面,4
目标,补充,5
目标,航拍,14
目标,图像,7
目标,存在,8
目标,关键,4
目标,密集,8
目标,漂移,6
目标,透视,5
目标,畸变,4
目标,环境,5
目标,域,4
目标,偏移,3
目标,高精度,2
目标,带来,3
目标,聚焦,5
目标,无人机,15
目标,技术,7
目标,梳理,5
目标,演进,4
目标,脉络,5
目标,剖析,4
目标,核心技术,3
目标,总结,9
目标,应用,1
目标,轻量化,1
目标,部署,2
目标,RGB,3
目标,红外,4
目标,模态,5
目标,关键技术,5
目标,全面,6
目标,交通流量,7
目标,监测,6
目标,管理,5
目标,交通安全,4
目标,主动,5
目标,防控,4
目标,违法,2
目标,提升,14
目标,进一步,2
目标,凝练,3
目标,当前,5
目标,研究,5
目标,指出,5
目标,任务,6
目标,定义,7
目标,评测,8
目标,局限性,4
目标,偏离,8
目标,覆盖,6
目标,均衡,5
目标,泛化,14
目标,能力,21
目标,不足,7
目标,瓶颈,1
目标,剥离,2
目标,重叠,7
目标,区分度,6
目标,加速,5
目标,训练,10
目标,收敛,4
目标,CAV,5
目标,轨迹,8
目标,行程,5
目标,油耗,5
目标,最大化,6
目标,舒适度,8
目标,预测,5
目标,超车,4
目标,被动,1
目标,领域,4
目标,亟待,5
目标,重要,5
目标,方向,6
目标,现有,7
目标,三维,43
目标,深化,4
目标,依赖,6
目标,大量,5
目标,标注,13
目标,难以,5
目标,开放,5
目标,未知,8
目标,低成本,8
目标,无需,10
目标,弱,21
目标,监督,22
目标,复杂,10
目标,适应性,2
目标,实用性,1
目标,稀疏,1
目标,激光雷达,2
目标,LiDAR,3
目标,伪点,5
目标,云,6
目标,利用,7
目标,二维,8
目标,稠密,4
目标,语义,12
目标,引导,6
目标,三维空间,5
目标,反向,5
目标,视,3
目标,锥体,2
目标,区域,1
目标,点云,21
目标,投影,5
目标,度,5
目标,评分,6
目标,实现,23
目标,鲁棒,13
目标,框在,4
目标,此基础,3
目标,多种,1
目标,尤其,5
目标,远距离,9
目标,鲁棒性,11
目标,更强,9
目标,VS3,7
目标,我国,6
目标,经济,5
目标,快速,4
目标,发展,5
目标,城市化,11
目标,进程,3
目标,不断深入,2
目标,长度,1
目标,34,2
目标,维,3
目标,状态,5
目标,以车,5
目标,均,6
目标,排队,7
目标,空间,5
目标,奖励,8
目标,函数,12
目标,采用,6
目标,双,5
目标,网络,4
目标,架构,5
目标,优先,4
目标,经验,3
目标,回放,2
目标,智行,1
目标,启新,2
目标,篇,3
目标,主题,4
目标,深入,5
目标,国家,5
目标,全球化,6
目标,双碳,24
目标,贯彻,4
目标,多重,8
目标,驱动,10
目标,交通运输,6
目标,行业,5
目标,面临,4
目标,系统性,5
目标,变革,4
目标,学科,3
目标,交叉,2
目标,替换法,1
目标,加雾,2
目标,加雨,3
目标,进行,6
目标,集,5
目标,处理,8
目标,YOLOv8,10
目标,基础,16
目标,框架,11
目标,对象,14
目标,C2f,12
目标,p2,10
目标,层,8
目标,CIoU,4
目标,三个,4
目标,集将,2
目标,预,3
目标,攻击者,5
目标,重构,5
目标,误差,6
目标,纳入,7
目标,平均,4
目标,未,7
目标,见,6
目标,攻击,5
目标,防护,4
目标,效果,3
目标,实体,1
目标,间,2
目标,重要性,3
目标,权重,4
目标,表征,6
目标,全局,4
目标,时空,8
目标,上下文,7
目标,频域,6
目标,统计,6
目标,特性,6
目标,高频,8
目标,成分,8
