Id,Label
目标,目标
检测,检测
精度,精度
低,低
交通,交通
模型,模型
参,参
数量,数量
问题,问题
提出,提出
一种,一种
改进,改进
YOLO11s,YOLO11s
算法,算法
尺度,尺度
不一,不一
挑战,挑战
设计,设计
特征提取,特征提取
模块,模块
MFEM,MFEM
集成,集成
形状,形状
注意力,注意力
阶段,阶段
特征,特征
交互,交互
机制,机制
扩大,扩大
感受,感受
野,野
增强,增强
不同,不同
提取,提取
能力,能力
全局,全局
局部,局部
双向,双向
金字塔,金字塔
网络,网络
GLBiFPN,GLBiFPN
利用,利用
上下文,上下文
建模,建模
细节,细节
强化,强化
策略,策略
减少,减少
跨,跨
融合,融合
中,中
信息,信息
损失,损失
提高,提高
性能,性能
最后,最后
共享,共享
头,头
DESH,DESH
卷积,卷积
参数,参数
捕获,捕获
每个,每个
能够,能够
VisDrone2019,VisDrone2019
数据,数据
集上,集上
实验,实验
结果表明,结果表明
PmAP50,PmAP50
PmAP5095,PmAP5095
达到,达到
425,425
259,259
基准,基准
相比,相比
提升,提升
35,35
25,25
量减少,量减少
138,138
证明,证明
有效性,有效性
传统,传统
自动,自动
紧急制动,紧急制动
automatic,automatic
emergency,emergency
braking,braking
AEB,AEB
系统,系统
信号,信号
交叉口,交叉口
场景,场景
下因,下因
车辆,车辆
机动,机动
意图,意图
确定,确定
而易,而易
出现,出现
漏,漏
触发,触发
识别,识别
控制策略,控制策略
intention,intention
recognition,recognition
IRAEB,IRAEB
感知,感知
决策,决策
层面,层面
自然,自然
驾驶,驾驶
构建,构建
结合,结合
拓扑,拓扑
生成,生成
分支,分支
候选,候选
轨迹,轨迹
建立,建立
概率,概率
加权,加权
期望,期望
碰撞,碰撞
时间,时间
expected,expected
timetocollision,timetocollision
ETTC,ETTC
风险,风险
量化,量化
指标,指标
控制,控制
执行,执行
引入,引入
主,主
动态,动态
筛选,筛选
适应,适应
固定,固定
阈值,阈值
滞,滞
回,回
逻辑,逻辑
制动,制动
方法,方法
依托,依托
MATLABSimulink,MATLABSimulink
闭环,闭环
仿真,仿真
平台,平台
CNCAP,CNCAP
规定,规定
左转,左转
直行,直行
测试,测试
cartocar,cartocar
front,front
turnacrosspath,turnacrosspath
CCFT,CCFT
典型,典型
双车,双车
冲突,冲突
及三车,及三车
扩展,扩展
进行,进行
验证,验证
分类,分类
准确率,准确率
达,达
9584,9584
宏,宏
平均,平均
F1,F1
值为,值为
0955,0955
最大,最大
减,减
速度限制,速度限制
ms2,ms2
当前,当前
智能,智能
领域,领域
模态,模态
技术,技术
人才,人才
需求,需求
较大,较大
校企,校企
协同,协同
教学模式,教学模式
显著,显著
推动,推动
技能,技能
人才培养,人才培养
效能,效能
文章,文章
现阶段,现阶段
研究,研究
现状,现状
特点,特点
出发,出发
阐述,阐述
必要性,必要性
三种,三种
主要,主要
模式,模式
订单式,订单式
培养,培养
共建,共建
实训,实训
基地,基地
产学研,产学研
合作,合作
案例,案例
研究法,研究法
解析,解析
高校,高校
一家,一家
企业,企业
达成,达成
共同,共同
开展,开展
课程,课程
教学,教学
过程,过程
给出,给出
情况,情况
反馈,反馈
评价,评价
实践,实践
表明,表明
有效,有效
学生,学生
素质,素质
就业,就业
竞争力,竞争力
为物,为物
联网,联网
赋能,赋能
提供,提供
推广,推广
范式,范式
有助于,有助于
相关,相关
专业,专业
培养目标,培养目标
定位,定位
课程体系,课程体系
设置,设置
方面,方面
优化,优化
创新,创新
复杂,复杂
光照,光照
变化,变化
姿态,姿态
差异,差异
遮挡,遮挡
导致,导致
下降,下降
轻量级,轻量级
框架,框架
MMASTFL,MMASTFL
核心,核心
体现,体现
三重,三重
一是,一是
通道,通道
空间,空间
ACSA,ACSA
MobileNetV2,MobileNetV2
车牌,车牌
车灯,车灯
关键,关键
区域,区域
表征,表征
二是,二是
LSTMTALSTM,LSTMTALSTM
多头,多头
时序,时序
关键帧,关键帧
精准,精准
刻画,刻画
变道,变道
转弯,转弯
行为,行为
三是,三是
交叉,交叉
实现,实现
视觉,视觉
引导,引导
深度,深度
聚合,聚合
VeRi776,VeRi776
重,重
mAP,mAP
898Rank1,898Rank1
926,926
SOTA,SOTA
17,17
16,16
F1score,F1score
924,924
22,22
预测,预测
ADE,ADE
FDE,FDE
降至,降至
068,068
m,m
125,125
误差,误差
降低,降低
133,133
154,154
消融,消融
证实,证实
均,均
带来,带来
增益,增益
可视化,可视化
分析,分析
进一步,进一步
逆光,逆光
极端,极端
条件,条件
鲁棒性,鲁棒性
交通系统,交通系统
高效,高效
可靠,可靠
解决方案,解决方案
机械,机械
臂,臂
伸缩,伸缩
高清,高清
相机,相机
咔嚓,咔嚓
成像,成像
红外,红外
镜头,镜头
缓缓,缓缓
扫过,扫过
1500,1500
点位,点位
检修,检修
分钟,分钟
回传,回传
总控,总控
台,台
凌晨,凌晨
济南,济南
轨道交通,轨道交通
号线,号线
王府,王府
庄,庄
车辆段,车辆段
一台,一台
白色,白色
巡检,巡检
机器人,机器人
正,正
轨道,轨道
自主,自主
行进,行进
电,电
客车,客车
做,做
全身,全身
体检,体检
这款,这款
重工,重工
集团,集团
有限公司,有限公司
联合,联合
高速公路,高速公路
路侧,路侧
雷达,雷达
普遍存在,普遍存在
传感器,传感器
时空,时空
异步,异步
环境噪声,环境噪声
干扰,干扰
物理,物理
跨域,跨域
重构,重构
语义,语义
关联,关联
运动学,运动学
平滑,平滑
双层,双层
处理,处理
掩码,掩码
监督,监督
预,预
训练,训练
Transformer,Transformer
编码器,编码器
学习,学习
点,点
运动,运动
状态,状态
习得,习得
内在,内在
规律,规律
出,出
包含,包含
指纹,指纹
完成,完成
匹配,匹配
重叠,重叠
区,区
双源,双源
观测,观测
高,高
置信度,置信度
区间,区间
卡尔曼滤波,卡尔曼滤波
RTSRauchTungStriebel,RTSRauchTungStriebel
上下游,上下游
传播,传播
约束,约束
全域,全域
一致性,一致性
真实,真实
试验,试验
976,976
147,147
位置,位置
方根,方根
抗噪性,抗噪性
度上,度上
优于,优于
几何,几何
生成式,生成式
敏感性,敏感性
揭示,揭示
150,150
区为,区为
拐点,拐点
可为,可为
工程,工程
部署,部署
理论依据,理论依据
月,月
日,日
第十届,第十届
世界,世界
交通运输,交通运输
大会,大会
天津,天津
启幕,启幕
这场,这场
AI,AI
主题,主题
盛会,盛会
多项,多项
前沿技术,前沿技术
成果,成果
集中,集中
亮相,亮相
同台,同台
展示,展示
人工智能,人工智能
数字,数字
孪生,孪生
新一代,新一代
行业,行业
丰硕成果,丰硕成果
全景,全景
呈现,呈现
勾勒,勾勒
智慧,智慧
未来,未来
发展,发展
崭新,崭新
图景,图景
放眼,放眼
华夏,华夏
构成,构成
要素,要素
革新,革新
运行,运行
重塑,重塑
治理,治理
格局,格局
产生,产生
影响,影响
驱动,驱动
转型,转型
哲学,哲学
社会科学,社会科学
面对,面对
新生事物,新生事物
时,时
表现,表现
明显,明显
理论,理论
失语,失语
脱节,脱节
难以,难以
既有,既有
解释,解释
多元,多元
主体,主体
互动关系,互动关系
无法,无法
应用,应用
伦理,伦理
困境,困境
根源,根源
未能,未能
存在论,存在论
明确,明确
工具,工具
本质,本质
未,未
适配,适配
时代,时代
认识论,认识论
要求,要求
边缘,边缘
辅助,辅助
中心,中心
引领,引领
需,需
化为,化为
学科,学科
建构,建构
围绕,围绕
新,新
维度,维度
路径,路径
系统性,系统性
体系,体系
这一,这一
回应,回应
落地,落地
人机,人机
价值,价值
相适应,相适应
规范,规范
指引,指引
助力,助力
健康,健康
持续,持续
我国,我国
全球,全球
自然灾害,自然灾害
最为,最为
严重,严重
国家,国家
应急,应急
疏散,疏散
防灾,防灾
减灾,减灾
常用,常用
手段,手段
实际,实际
中常,中常
快速,快速
转运,转运
大量,大量
脆弱,脆弱
群体,群体
老年人,老年人
孕妇,孕妇
伤员,伤员
灾后,灾后
地面,地面
路,路
网易,网易
受损,受损
发生,发生
交通拥堵,交通拥堵
制约,制约
效率,效率
电动,电动
垂直,垂直
起降,起降
飞行器,飞行器
eVTOL,eVTOL
具备,具备
越障,越障
通行,通行
高速,高速
形成,形成
运力,运力
互补,互补
突破,突破
瓶颈,瓶颈
本文,本文
考虑,考虑
地空,地空
转换,转换
载客量,载客量
换乘,换乘
服务,服务
延迟,延迟
最小化,最小化
总,总
分流,分流
比例,比例
径流量,径流量
分配,分配
元胞,元胞
传输,传输
CTM,CTM
交通流,交通流
演化过程,演化过程
载客,载客
交替,交替
方向,方向
乘子法,乘子法
A,A
DMM,DMM
分解,分解
求解,求解
Sioux,Sioux
Falls,Falls
路网,路网
单一,单一
效益,效益
增大,增大
呈,呈
凹,凹
增长,增长
趋势,趋势
趋于稳定,趋于稳定
存在,存在
一个,一个
最优,最优
资源,资源
算例,算例
比约,比约
0382,0382
节点,节点
空中走廊,空中走廊
等待,等待
纯,纯
公交车,公交车
行驶,行驶
能耗,能耗
车路,车路
环境,环境
节能,节能
车速,车速
动力系统,动力系统
热,热
神经网络,神经网络
PhysicsInformed,PhysicsInformed
Neural,Neural
NetworkPINN,NetworkPINN
纵向,纵向
动力学,动力学
基础,基础
能量,能量
回收,回收
损耗,损耗
因素,因素
更,更
符合实际,符合实际
面向,面向
窗口,窗口
上层,上层
相位,相位
配时,配时
Signal,Signal
Phase,Phase
and,and
TimingSPaT,TimingSPaT
机会,机会
判别,判别
下层,下层
采用,采用
S,S
型,型
曲线,曲线
计算,计算
驰,驰
工况,工况
前,前
车,车
Intelligent,Intelligent
Driver,Driver
ModelIDM,ModelIDM
安全,安全
边界,边界
Model,Model
Predictive,Predictive
ControlMPC,ControlMPC
滚动,滚动
规划,规划
性,性
安全性,安全性
经济性,经济性
绿灯,绿灯
红灯,红灯
提,提
实车,实车
3193,3193
4062,4062
4258,4258
所提,所提
交,交
行人,行人
准确性,准确性
尤其,尤其
干预,干预
情境,情境
突变,突变
图,图
异构,异构
关系,关系
GNN,GNN
邻接,邻接
依赖,依赖
捕捉,捕捉
个体,个体
速度,速度
加速度,加速度
航向,航向
角,角
先验,先验
突发,突发
响应,响应
SUMO,SUMO
三类,三类
E1E3,E1E3
采集,采集
结果显示,结果显示
071mFDE,071mFDE
148m,148m
SocialLSTMSGCN,SocialLSTMSGCN
现有,现有
整体,整体
贡献,贡献
预判,预判
支撑,支撑
非机动车,非机动车
细粒度,细粒度
面临,面临
层次化,层次化
难,难
缺乏,缺乏
类内,类内
调制,调制
自行车,自行车
及多类,及多类
配送,配送
图像,图像
集,集
FNVID,FNVID
AHM,AHM
对齐,对齐
序列,序列
Mamba,Mamba
选择性,选择性
门控,门控
层级,层级
层次,层次
类别,类别
相似性,相似性
相同,相同
大类,大类
子类,子类
分数,分数
方差,方差
符合,符合
结构,结构
分布,分布
类间,类间
YOLOv8,YOLOv8
YOLOv8AHM,YOLOv8AHM
mAP50,mAP50
932mAP5095,932mAP5095
887,887
基线,基线
23,23
28,28
百分点,百分点
聚焦,聚焦
箱,箱
头盔,头盔
服装,服装
保持,保持
较强,较强
执法,执法
可行,可行
方案,方案
无人机,无人机
UAV,UAV
三维,三维
机动性,机动性
俯视,俯视
视角,视角
成为,成为
ITS,ITS
补充,补充
航拍,航拍
密集,密集
漂移,漂移
透视,透视
畸变,畸变
域,域
偏移,偏移
高精度,高精度
梳理,梳理
演进,演进
脉络,脉络
剖析,剖析
核心技术,核心技术
总结,总结
两,两
单,单
式,式
历程,历程
归纳,归纳
深入,深入
网络结构,网络结构
轻量化,轻量化
RGB,RGB
关键技术,关键技术
全面,全面
交通流量,交通流量
监测,监测
管理,管理
交通安全,交通安全
主动,主动
防控,防控
违法,违法
基础设施,基础设施
凝练,凝练
局限性,局限性
指出,指出
任务,任务
定义,定义
评测,评测
偏离,偏离
覆盖,覆盖
均衡,均衡
泛化,泛化
不足,不足
展望,展望
探讨,探讨
经济,经济
交通运输业,交通运输业
背景,背景
下以,下以
GPS,GPS
监控,监控
货运,货运
物流,物流
运输,运输
经济效益,经济效益
驱动力,驱动力
合理,合理
降低成本,降低成本
消耗,消耗
工作效率,工作效率
提质,提质
增效,增效
参考,参考
思路,思路
报告会,报告会
原生,原生
具身,具身
盾构,盾构
